content,score
"saya lagi nonton video pembelajaran nih, dimana video pembelajarannnya akan berakhir ±1 menit kemudian. Sedangkan saya posisinya masih mengerjakan soal dari latihan soal yang ada dalam video. Belum rampung saya menjawab, itu tiba tiba keluar notifikasi untuk lanjut ke fitur kuis. Untuk lanjut ke fitur kuisnya kan dihitung mundur, tapi bisa dibatalkan. Namun, saat dibatalkan, opsi fiturnyakan masih ada di videonya. Nah itu menggangu untuk saya menjawab soal, karena opsinya menutupi jawaban",3
"Aplikasi Ruangguru seringkali lemot padahal jaringan sudah baik, seperti saat ingin memberi rating. Lalu, saya juga selalu mengalami lag saat drill soal menggunakan handphone. Kadang dalam soal juga ada yang salah kunci jawaban. Tolong dibenahi lagi aplikasi nya dan soal-soalnya.",3
"Overall semuanya tampak bagus, tapi tolong developer Tambahkan mode gelap dan tampilan aplikasi bisa jadi landscape, dan widget ruangguru itu bisa mirip aplikasi bahasa burung ijo sebelah. Semoga bisa improve setelahnya. Good job squad",5
"ruangguru benar² menjadi ruang yang menyenangkan untuk belajar, materinya lengkap, pengajar²nya kompeten dan ditambah ada filter adapto yang memudahkan untuk memahami pelajaran, terima kasih ruangguru telah hadir.....",5
fitur adapto menambah semangat belajar karena memberikan pengalaman belajar melalui video yang sangat interaktif 🤩 Dengan adanya fitur adapto saya merasa seperti berinteraksi langsung dengan kakak2 yang ada di dalam video😍,5
"gua sebenarnya suka banget dengan fitur -fiturnya tapi entah kenapa kadang ngirim jawaban atau buka video tuh muncul ""server sedang membutuhkan waktu"" terus gua ulangi lagi tapi masih sama, diwaktu yang sama gue coba buka game ml terus main tapi aman2 aja tuh karena emang internetnya gak lambat, jadinya klo kek gini mood belajar tuh jadi kurang",2
"Bagus banget sih aplikasinya. Paket ruang belajar udah cukup banget bagi yang ambis belajar tapi sekolahnya kurang bagus. Karena materinya udah terstruktur, ada latihan soal, TO, dll. Pokoknya enak banget deh belajarnya. Thank you Ruangguru",5
"overall semuanya sudah sangat baik dengan ruang guru, namun ada beberapa fitur yang ketika saat saya mengaksesnya loading terus menerus, padahal sudah pakai paket data tapi tidak termuat fiturnya. saya harap hal ini bisa diperbaiki lagi, terimakasih ruangguru🙏🏻😊",4
"tolong diperbaiki sistemnya dong, saya udah latihan soal mau claim gold sama xp nya malah gabisa & setiap latihan soal selesai dikerjakan selalu diarahkan ke video belajar. latihan soal saya sudah kerjakan tadi tidak ditandai sudab dikerjakannya",4
"jujurly aplikasinya udah bagus banget ngebantu aku buat belajar materi materi yang belum aku ngerti, pokoknya ruangguru aplikasi belajar paling bagus tapi saran ku lebih baik pelajaran untuk SMP itu ditambahkan lagi kayak pelajaran informatika atau seni budaya karena pelajaran informatika itu masih banyak yang belum aku ngerti tapi overall udah bagus kok😊🙏🏻",5
"halo min ini kenapa ya apk nya jd error? saya sudah install berkali-kali tetapi tetap eror. Kendalanya adalah tidak adanya tampilan yang muncul ketika ada kuiz di video pembelajaran, tidak bisa memencet pilihan dalam pendalaman materi, sehingga saya harus keluar masuk apk untuk nonton videonya tapi gabisa pencet pilihan lain kalo ad quiz jg eror ga ada soal dan jawaban yg muncul, kalo mau pencet pendalaman materi jg gabisa, saya sudah install ulang berkali-kali tapi masih tetap tidak bisa",2
"Aku suka bgt sma aplikasi ruang guru, karna ak jdi lbh paham pelajaran yang disklh menurut ku itu sulit. So, I'm sure this is a really good application for us to learn. Dan nyata ny g sesulit itu....",5
"Aplikasi ini sudah sangat cocok untuk pelajar Indonesia yang mungkin malas untuk mengulas atau membaca ulang materi yang di pelajari, karena dari aplikasi ini sudah ada video pembahasan,quiz,maupun tes pemahaman kamu! Terimakasih RuangGuru",5
Saya senang menggunakan aplilasi ruangguru karena aplikasi ini sangat membantu saya dalam belajar selain itu aplikasi ruangguru sangat membantu dalam mempersiapkan ujian. Fitur-fitur yang tersedia pun sangat membantu sekali.,5
"Aplikasi ini sangat membantu saya dalam melengkapi pelajaran yang ada di sekolah.Materi disini juga di desain dengan bentuk pola,diagram,dan tabel. Sehingga memudahkan saya dalam lebih memahami materi.Materi yang disampaikan juga singkat,padat,jelas dan bermutu.Sehingga dapat mengoptimalkan pemahaman saya.Pokoknya the best deh!",5
"Bruh, padahal udh langganan tapi ada aja materi yg ga bisa akses, waktu buka subbab selalu ada beberapa yg ""Terjadi kesalahan sistem"", pas jawab soal apalagi,soal nya berkualitas dan kritis memang,cuma bug nya perbaiki lah!,halah, gak bertanggungjawab banget sih, materinya udh bener, cuma judulnya agak ngawur, susah nyari materi, tahun depan mending gua gausah langganan!",2
"Seru, menarik, apalagi setelah ada clash of champions dan academy of champions, semakin memotivasi para pelajar untuk terus bersungguh-sungguh dalam pendidikan di zaman sekarang ini, terus berkembang yaa!!",5
"kak tolongin aku dong,apk ruangguru aku gak mau buka,katanya ""sedang terjadi masalah pada sistem dan tunggu beberapa saat lagi"",aku udah tunggu,udah sampe hampir sebulan malahan,tapi tetap masih kayak gitu,tolong dong bantuan nya",2
"keren bgt, ngebacain kritik"" buat memberbagus app, btw kak tombol yg dibawah layar kalo bisa di sembunyiin pas buka file yg dikirim di kelas, soalnya sering ga sengaja kepencet 😭😭",5
"Apaan lah jelek banget, udah bayar langganan mahal mahal di BAON tapi sistem IT dan server nya jelek banget. Padahal wifi dan sinyal lancar jaya. Tapi emang kadang pas live teacing dan buka ruang belajar banyak banget trouble nya. Di ruang belajar pun pas mau ngumpulin jawaban malah loading mulu, gimana bisa buat belajar? Mending perbaikin sistem IT nya dulu deh, daripada kebanyakan spam ke wa orang",1
"kasih bintang lima dulu ya kak maaf tapi apk nya bagus kok minusnya susah dipake kak dah gitu waktu mau nonton vidio nya,vidionya ke kunci dan harus berlangganan mohon di perhatikan ya saya jadi GK nyaman",5
"-10000000000/10. Aplikasinya ngajak gelud, asik macet, dan ada iklan apalah itu. Waktu kerjain soal tiba-tiba udah kekumpul padahal belum jawab.",1
"4 deh, bagus sih tapi materi di ruang belajar nya harus di tambahin lagi menyesuaikan kurmer sama materi yang terbaru..",4
"Kenapa ya error terus, loading lama banget padahal jaringan stabil. Tolong yyaa, biar nggak sayang sayang banget berlangganan nya.",4
"Promosi setiap hari bahkan itu lewat pesan wa yang itu sangatlah mengganggu, bahkan nomor orangtua juka di wa terus menerus. Sudah konfirmasi tidak mau perpanjangan masih saja terus menerus wa. Tolonglah kalau mau promosi sewajarnya atau bisalah lewat email saja. Mau di blokir nomor mereka ada banyak, sudah 10± nomor yang mengirim pesan wa",1
